bio_id,followers
S001197,469601
S001198,62144
S001199,14378
S001200,26083
S001201,20445
S001202,13628
S001203,170769
S001204,697
S001205,68407
S001206,58427
S001207,111596
S001208,123135
S001209,118777
S001210,10734
S001211,76746
S001212,15427
S001213,16749
S001214,30971
S001215,68451
S001216,22649
S001217,502092
T000165,12529
T000193,24722
T000238,18032
T000250,139526
T000278,87363
T000460,38192
T000461,178947
T000462,15708
T000463,43309
T000464,146977
T000467,23617
T000468,50547
T000469,29456
T000470,30520
T000472,61346
T000474,55080
T000475,13731
T000476,168245
T000477,18690
T000478,31526
T000479,17494
T000480,11476
T000481,1943911
T000482,35768
T000483,21605
T000484,32833
T000486,80591
U000031,39858
U000039,185955
U000040,247111
V000081,82975
V000108,15960
V000128,196095
V000129,29288
V000130,26533
V000131,38699
V000132,19874
V000133,31430
V000134,27381
W000187,1696532
W000437,118835
W000779,534094
W000788,55643
W000790,1082254
W000791,33885
W000795,39742
W000797,376333
W000798,21715
W000799,26369
W000800,40143
W000802,476661
W000804,32049
W000805,505990
W000806,28856
W000808,75171
W000809,26896
W000810,18113
W000812,33104
W000813,28439
W000814,22919
W000815,35663
W000816,20347
W000817,12687009
W000819,43235
W000821,16831
W000822,51879
W000823,42971
W000824,11985
W000825,59734
W000826,18761
W000827,12420
Y000033,25102
Y000062,50942
Y000064,74739
Y000065,53533
Y000066,17374
Z000017,353615
